V_k_s	V_a_s
-0.036	-0.1
1.46	-0.09
1.81	-0.08
2.332	0.29
2.673	6.79
2.938	26.96
3.087	35.45
3.126	37.29
3.264	42.29
3.351	45.05
3.446	47.39
3.546	48.54
3.661	49.36
3.715	51.33
3.857	53.44
3.922	54.49
4.054	55.75
4.13	56.28
4.262	58.29
4.332	58.74
4.464	59.25
4.59	59.55
4.668	59.69
4.751	59.97
4.851	59.83
4.937	60.37
5.035	61.76
5.158	61.74
5.229	61.1
5.381	60.28
5.489	58.81
6.014	58.1
6.56	53.83
7.047	48.89
7.515	44.16
8.011	40.41
8.542	36.74
9.006	33.9
9.6	31.39
10.035	30.63
10.542	30.71
11.029	31.45
11.538	32.17
11.75	32.64
9.778	31.18
9.844	30.41
9.925	30.55
10.159	30.13
10.27	31
