Лабораторная работа 4.1. Счетчик Гейгера			
x, мм	N	t	N_t
60	23	238,5	0,0964360587
55	28	238,3	0,1174989509
50	50	387,1	0,1291655903
45	51	388,4	0,13130793
40	51	428,7	0,1189643107
35	51	289	0,1764705882
30	70	394,6	0,1773948302
25	70	459,6	0,1523063534
20	72	344,7	0,2088772846
15	70	416,8	0,1679462572
12	100	334,6	0,2988643156
10	207	409,1	0,5059887558
7	752	180,2	4,1731409545
6	2676	180,3	14,8419301165
5	2824	180,7	15,6281128943
4	2981	185,6	16,0614224138
3	2913	180,2	16,1653718091
2	3969	241,8	16,4143920596
1	3577	244,7	14,6178994687
0	4226	300,2	14,0772818121
